PengajuanKey,DateKey_Daftar,DateKey_Granted,DateKey_Kadaluwarsa,JenisKIKey,StatusKey,JumlahPengajuan,BiayaPendaftaran,JumlahPaten,JumlahPatenSederhana,JumlahHakCipta
117,20221220,,,2,1,1,500000,0,1,0
118,20230725,,,3,6,1,2000000,0,0,1
119,20251101,,,4,1,1,1000000,0,0,0
120,20210616,,,5,6,1,2000000,0,0,0
121,20220316,,,3,2,1,2000000,0,0,1
122,20231222,,,6,1,1,1000000,0,0,0
123,20200207,20201002.0,,2,5,1,500000,0,1,0
124,20230627,,,4,7,1,1000000,0,0,0
125,20220224,20230803.0,,5,5,1,1000000,0,0,0
126,20201215,,,1,1,1,1500000,1,0,0
127,20240918,,,3,8,1,500000,0,0,1
128,20231212,,,1,1,1,1500000,1,0,0
129,20241113,,,2,1,1,500000,0,1,0
130,20251115,,,4,3,1,1500000,0,0,0
131,20241011,,,4,3,1,1500000,0,0,0
132,20231019,,,1,8,1,1500000,1,0,0
133,20220113,,,5,2,1,2000000,0,0,0
134,20240923,,,4,1,1,1000000,0,0,0
135,20200604,,,3,2,1,1000000,0,0,1
136,20230929,,,2,2,1,1500000,0,1,0
137,20221013,,,6,3,1,2000000,0,0,0
138,20211001,,,5,4,1,500000,0,0,0
139,20231225,,,4,8,1,1000000,0,0,0
140,20220324,,,2,1,1,1500000,0,1,0
141,20200504,,,5,6,1,1500000,0,0,0
142,20210715,,,2,1,1,2000000,0,1,0
143,20230926,,,4,8,1,2000000,0,0,0
144,20241213,,,6,7,1,1500000,0,0,0
145,20240515,,,3,4,1,1000000,0,0,1
146,20240324,,,1,6,1,2000000,1,0,0
147,20230117,,,2,4,1,2000000,0,1,0
148,20200422,,,2,2,1,1500000,0,1,0
149,20240212,,,5,6,1,1000000,0,0,0
150,20250925,,,3,2,1,1500000,0,0,1
151,20200507,,,1,2,1,1500000,1,0,0
152,20230922,20240323.0,,6,5,1,500000,0,0,0
153,20230522,20240723.0,,5,5,1,2000000,0,0,0
154,20201105,,,6,6,1,500000,0,0,0
155,20250321,,,1,3,1,500000,1,0,0
156,20211001,,,6,6,1,1000000,0,0,0
157,20220226,,,5,1,1,500000,0,0,0
158,20250416,,,4,7,1,2000000,0,0,0
159,20210508,,,1,2,1,1000000,1,0,0
160,20210613,,,1,4,1,1000000,1,0,0
161,20230911,,,6,2,1,2000000,0,0,0
162,20211015,20220714.0,,6,5,1,500000,0,0,0
163,20251107,,,5,8,1,2000000,0,0,0
164,20200105,,,3,4,1,500000,0,0,1
165,20230715,,,4,7,1,2000000,0,0,0
166,20210906,,,6,1,1,2000000,0,0,0
167,20240512,,,3,6,1,1500000,0,0,1
168,20241006,,,6,3,1,2000000,0,0,0
169,20250911,,,3,7,1,2000000,0,0,1
170,20230708,,,6,1,1,500000,0,0,0
171,20230819,,,3,6,1,1500000,0,0,1
172,20200908,,,2,2,1,500000,0,1,0
173,20220918,,,4,6,1,2000000,0,0,0
174,20240427,,,1,7,1,1000000,1,0,0
175,20210201,,,3,7,1,500000,0,0,1
176,20240126,,,2,4,1,2000000,0,1,0
177,20250506,,,5,2,1,500000,0,0,0
178,20200608,,,6,4,1,500000,0,0,0
179,20250107,,,2,6,1,1000000,0,1,0
180,20231216,,,6,6,1,1000000,0,0,0
181,20250604,,,5,2,1,2000000,0,0,0
182,20211201,,,1,3,1,1500000,1,0,0
183,20230120,,,1,3,1,1500000,1,0,0
184,20221118,,,5,8,1,1000000,0,0,0
185,20230321,,,2,6,1,1000000,0,1,0
186,20200526,,,1,7,1,1000000,1,0,0
187,20240806,,,4,8,1,1500000,0,0,0
188,20240916,,,2,8,1,1500000,0,1,0
189,20220113,,,4,1,1,1500000,0,0,0
190,20201029,,,6,2,1,500000,0,0,0
191,20210826,,,1,8,1,500000,1,0,0
192,20220309,,,2,2,1,2000000,0,1,0
193,20230208,,,3,1,1,500000,0,0,1
194,20241229,,,6,7,1,1500000,0,0,0
195,20200923,,,6,3,1,1500000,0,0,0
196,20240110,,,6,7,1,1000000,0,0,0
197,20200810,,,1,1,1,1500000,1,0,0
198,20250727,20260126.0,,4,5,1,2000000,0,0,0
199,20250307,,,5,4,1,1500000,0,0,0
200,20210401,20220108.0,,5,5,1,500000,0,0,0
201,20230515,,,3,8,1,1500000,0,0,1
202,20230906,20240604.0,,6,5,1,2000000,0,0,0
203,20240228,,,4,1,1,2000000,0,0,0
204,20210128,,,2,7,1,1500000,0,1,0
205,20250917,,,6,8,1,1500000,0,0,0
206,20220713,,,6,6,1,1500000,0,0,0
207,20230221,,,2,3,1,2000000,0,1,0
208,20240614,20251225.0,,3,5,1,2000000,0,0,1
209,20200725,,,6,3,1,1000000,0,0,0
210,20210119,,,4,4,1,1500000,0,0,0
211,20241010,,,1,2,1,1500000,1,0,0
212,20210825,,,4,2,1,2000000,0,0,0
213,20240204,,,5,7,1,1500000,0,0,0
214,20200128,,,4,6,1,500000,0,0,0
215,20220623,,,6,6,1,500000,0,0,0
216,20250810,20261116.0,,5,5,1,2000000,0,0,0
217,20240211,,,4,1,1,2000000,0,0,0
218,20240501,,,2,7,1,1500000,0,1,0
219,20250302,,,4,3,1,1500000,0,0,0
220,20210724,,,4,8,1,1500000,0,0,0
221,20210111,,,4,6,1,500000,0,0,0
222,20211019,,,4,2,1,1000000,0,0,0
223,20230825,,,3,4,1,500000,0,0,1
224,20250331,,,4,3,1,500000,0,0,0
225,20220528,20230820.0,,4,5,1,1000000,0,0,0
226,20230923,,,6,7,1,500000,0,0,0
227,20210509,,,3,7,1,2000000,0,0,1
228,20200208,20200923.0,,5,5,1,2000000,0,0,0
229,20200517,20220223.0,,2,5,1,1500000,0,1,0
230,20220122,20230216.0,,1,5,1,500000,1,0,0
231,20200916,,,4,8,1,500000,0,0,0
232,20220319,,,5,6,1,2000000,0,0,0
233,20200429,,,4,2,1,500000,0,0,0
234,20230108,,,1,3,1,1000000,1,0,0
235,20200218,,,4,8,1,500000,0,0,0
236,20241217,,,4,1,1,2000000,0,0,0
237,20220409,,,5,7,1,2000000,0,0,0
238,20240501,20250716.0,,3,5,1,1500000,0,0,1
239,20210111,,,4,3,1,1500000,0,0,0
240,20240826,,,1,7,1,500000,1,0,0
241,20240127,20250201.0,,4,5,1,2000000,0,0,0
242,20251118,,,2,3,1,1500000,0,1,0
243,20230808,,,4,6,1,1500000,0,0,0
244,20230131,,,2,7,1,1500000,0,1,0
245,20201129,,,4,4,1,2000000,0,0,0
246,20201105,,,6,1,1,1000000,0,0,0
247,20200110,,,3,1,1,1000000,0,0,1
248,20210316,,,3,2,1,1500000,0,0,1
249,20230905,,,4,3,1,1000000,0,0,0
250,20231011,,,4,7,1,1000000,0,0,0
251,20200605,20201211.0,,1,5,1,500000,1,0,0
252,20230806,,,4,2,1,1000000,0,0,0
253,20230520,,,4,8,1,1000000,0,0,0
254,20220122,,,6,2,1,1000000,0,0,0
255,20250507,20270415.0,,4,5,1,1000000,0,0,0
256,20240926,,,4,1,1,2000000,0,0,0
257,20231116,20240720.0,,2,5,1,1000000,0,1,0
258,20240814,,,5,3,1,1500000,0,0,0
259,20201113,,,6,8,1,1000000,0,0,0
260,20230710,,,1,4,1,1000000,1,0,0
261,20210429,,,6,4,1,1500000,0,0,0
262,20200225,,,6,6,1,1000000,0,0,0
263,20200319,,,4,2,1,1000000,0,0,0
264,20240104,,,2,4,1,1000000,0,1,0
265,20250821,,,5,2,1,2000000,0,0,0
266,20230612,20240331.0,,4,5,1,1500000,0,0,0
267,20230215,,,6,1,1,500000,0,0,0
268,20200105,,,6,2,1,1500000,0,0,0
269,20231026,,,3,4,1,1000000,0,0,1
270,20250601,,,6,3,1,1500000,0,0,0
271,20230505,,,3,8,1,500000,0,0,1
272,20200902,,,4,6,1,1000000,0,0,0
273,20210607,20230430.0,,1,5,1,2000000,1,0,0
274,20230103,,,6,7,1,2000000,0,0,0
275,20210708,,,2,1,1,500000,0,1,0
276,20220204,,,6,3,1,1000000,0,0,0
277,20241109,,,6,7,1,1000000,0,0,0
278,20250714,,,1,6,1,1500000,1,0,0
279,20250527,,,1,7,1,500000,1,0,0
280,20200128,20200825.0,,3,5,1,500000,0,0,1
281,20210126,20220706.0,,3,5,1,2000000,0,0,1
282,20231020,,,3,8,1,1000000,0,0,1
283,20250222,,,5,2,1,1000000,0,0,0
284,20210313,20221120.0,,2,5,1,500000,0,1,0
285,20201103,,,1,1,1,500000,1,0,0
286,20210808,20230213.0,,1,5,1,1500000,1,0,0
287,20240816,,,4,8,1,500000,0,0,0
288,20220727,,,5,8,1,1500000,0,0,0
289,20230928,,,5,6,1,2000000,0,0,0
290,20210218,,,2,6,1,2000000,0,1,0
291,20250826,,,1,2,1,2000000,1,0,0
292,20200625,,,5,7,1,500000,0,0,0
293,20250305,,,4,2,1,1000000,0,0,0
294,20200111,,,5,7,1,500000,0,0,0
295,20221218,,,2,4,1,2000000,0,1,0
296,20230819,,,1,4,1,1500000,1,0,0
297,20240820,,,6,2,1,2000000,0,0,0
298,20250126,,,4,8,1,2000000,0,0,0
299,20240330,,,5,2,1,1000000,0,0,0
300,20240929,20250510.0,,4,5,1,1000000,0,0,0
301,20250925,20260616.0,,2,5,1,1000000,0,1,0
302,20250424,,,2,6,1,1500000,0,1,0
303,20230721,,,3,8,1,500000,0,0,1
304,20231208,,,4,7,1,500000,0,0,0
305,20250325,,,5,6,1,1000000,0,0,0
306,20250305,,,3,6,1,1000000,0,0,1
307,20231004,,,6,3,1,2000000,0,0,0
308,20230515,20250425.0,,3,5,1,1000000,0,0,1
309,20250307,,,6,2,1,1000000,0,0,0
310,20250630,,,3,3,1,2000000,0,0,1
311,20250623,,,4,2,1,1000000,0,0,0
312,20250524,,,6,3,1,1000000,0,0,0
313,20220924,,,2,2,1,500000,0,1,0
314,20200510,,,1,6,1,2000000,1,0,0
315,20240910,,,3,7,1,1500000,0,0,1
316,20220126,,,2,6,1,1000000,0,1,0
317,20250721,,,5,1,1,500000,0,0,0
318,20231012,,,6,1,1,1000000,0,0,0
319,20231201,,,2,3,1,1000000,0,1,0
320,20230818,20250515.0,,5,5,1,1000000,0,0,0
321,20210203,,,2,6,1,1000000,0,1,0
322,20250514,,,3,1,1,2000000,0,0,1
323,20220718,,,1,4,1,2000000,1,0,0
324,20250614,,,6,6,1,2000000,0,0,0
325,20230409,,,3,6,1,1500000,0,0,1
326,20230209,,,5,1,1,1500000,0,0,0
327,20240628,,,3,3,1,1500000,0,0,1
328,20210930,20221002.0,,4,5,1,500000,0,0,0
329,20241023,,,2,1,1,1000000,0,1,0
330,20201118,,,4,2,1,1500000,0,0,0
331,20210101,,,4,6,1,1000000,0,0,0
332,20211205,,,2,6,1,1000000,0,1,0
333,20240922,,,3,4,1,2000000,0,0,1
334,20230924,,,6,3,1,2000000,0,0,0
335,20230820,,,1,1,1,2000000,1,0,0
336,20210128,,,5,3,1,1000000,0,0,0
337,20220218,,,2,3,1,1000000,0,1,0
338,20250617,,,2,3,1,500000,0,1,0
339,20220802,,,6,4,1,1000000,0,0,0
340,20220913,,,6,6,1,500000,0,0,0
341,20220316,,,1,7,1,500000,1,0,0
342,20230609,,,6,2,1,1500000,0,0,0
343,20200429,20220120.0,,1,5,1,2000000,1,0,0
344,20250919,,,6,7,1,500000,0,0,0
345,20200610,,,4,8,1,1500000,0,0,0
346,20210707,,,6,8,1,1500000,0,0,0
347,20240518,,,5,3,1,1000000,0,0,0
348,20200422,,,3,4,1,2000000,0,0,1
349,20210317,,,5,1,1,1000000,0,0,0
350,20250730,,,4,2,1,1500000,0,0,0
351,20230420,,,2,7,1,500000,0,1,0
352,20210726,,,4,8,1,2000000,0,0,0
353,20210317,,,1,8,1,2000000,1,0,0
354,20240226,,,2,1,1,1000000,0,1,0
355,20250724,,,1,3,1,500000,1,0,0
356,20210706,,,2,1,1,1000000,0,1,0
357,20250806,20260313.0,,1,5,1,1500000,1,0,0
358,20231228,,,6,1,1,1000000,0,0,0
359,20240807,,,3,2,1,1000000,0,0,1
360,20250528,,,5,1,1,2000000,0,0,0
361,20230926,20250610.0,,3,5,1,2000000,0,0,1
362,20240530,20250715.0,,4,5,1,500000,0,0,0
363,20221224,,,5,3,1,1500000,0,0,0
364,20230627,,,6,2,1,2000000,0,0,0
365,20230304,,,5,1,1,500000,0,0,0
366,20240312,,,4,7,1,500000,0,0,0
367,20230331,20231215.0,,2,5,1,1500000,0,1,0
368,20201019,,,5,6,1,1500000,0,0,0
369,20210212,,,2,6,1,2000000,0,1,0
370,20240521,,,5,8,1,1000000,0,0,0
371,20200507,,,2,4,1,2000000,0,1,0
372,20200413,,,4,7,1,500000,0,0,0
373,20201024,,,3,6,1,1500000,0,0,1
374,20210703,,,1,1,1,1500000,1,0,0
375,20200517,,,4,1,1,1500000,0,0,0
376,20250930,,,2,6,1,1000000,0,1,0
377,20220213,20230604.0,,1,5,1,1000000,1,0,0
378,20220628,,,4,7,1,500000,0,0,0
379,20240425,,,4,7,1,1000000,0,0,0
380,20241228,,,6,8,1,2000000,0,0,0
381,20240812,,,1,8,1,1500000,1,0,0
382,20231228,,,5,2,1,1500000,0,0,0
383,20240223,,,2,3,1,1500000,0,1,0
384,20200709,,,5,3,1,500000,0,0,0
385,20210714,,,1,4,1,2000000,1,0,0
386,20231211,,,6,1,1,2000000,0,0,0
387,20200821,20220321.0,,4,5,1,2000000,0,0,0
388,20220829,20231111.0,,4,5,1,1500000,0,0,0
389,20220626,,,4,2,1,2000000,0,0,0
390,20240515,,,6,1,1,1000000,0,0,0
391,20220823,,,5,1,1,500000,0,0,0
392,20231112,,,6,2,1,500000,0,0,0
393,20220309,,,6,7,1,1500000,0,0,0
394,20221105,,,6,6,1,500000,0,0,0
395,20230208,,,5,6,1,2000000,0,0,0
396,20201112,,,6,6,1,1000000,0,0,0
397,20210506,,,6,7,1,500000,0,0,0
398,20221011,,,6,7,1,1000000,0,0,0
399,20250309,,,6,7,1,500000,0,0,0
400,20250601,20260918.0,,5,5,1,500000,0,0,0
401,20220109,,,4,1,1,1000000,0,0,0
402,20220913,,,5,6,1,2000000,0,0,0
403,20210723,,,6,8,1,1000000,0,0,0
404,20200701,,,6,4,1,1500000,0,0,0
405,20230817,,,5,7,1,1000000,0,0,0
406,20241021,,,6,1,1,2000000,0,0,0
407,20240708,,,2,8,1,1500000,0,1,0
408,20200306,,,6,3,1,1500000,0,0,0
409,20201109,,,2,7,1,1500000,0,1,0
410,20200219,,,6,1,1,1000000,0,0,0
411,20231010,20250104.0,,1,5,1,1500000,1,0,0
412,20221120,,,6,4,1,2000000,0,0,0
413,20251029,20261219.0,,1,5,1,1000000,1,0,0
414,20201209,,,3,6,1,1000000,0,0,1
415,20240218,,,5,1,1,2000000,0,0,0
416,20240318,,,1,4,1,1500000,1,0,0
417,20210311,20220606.0,,3,5,1,2000000,0,0,1
418,20250528,,,1,3,1,500000,1,0,0
419,20200123,20211204.0,,2,5,1,500000,0,1,0
420,20250527,,,1,7,1,500000,1,0,0
421,20220728,,,6,4,1,1000000,0,0,0
422,20221208,,,1,4,1,1500000,1,0,0
423,20250512,,,4,6,1,1500000,0,0,0
424,20220409,,,6,8,1,1000000,0,0,0
425,20231223,,,2,2,1,500000,0,1,0
426,20250911,,,5,6,1,1500000,0,0,0
427,20250819,,,1,1,1,1000000,1,0,0
428,20241102,,,2,7,1,1500000,0,1,0
429,20201117,,,2,4,1,500000,0,1,0
430,20211207,,,6,4,1,1500000,0,0,0
431,20240410,20260213.0,,6,5,1,500000,0,0,0
432,20210102,,,1,7,1,1500000,1,0,0
433,20201226,,,6,6,1,1000000,0,0,0
434,20251015,,,1,7,1,2000000,1,0,0
435,20240905,,,4,1,1,1000000,0,0,0
436,20230813,,,5,7,1,1500000,0,0,0
437,20241011,,,2,2,1,1500000,0,1,0
438,20200224,,,6,6,1,2000000,0,0,0
439,20220326,,,3,7,1,1500000,0,0,1
440,20210920,,,6,2,1,1000000,0,0,0
441,20240820,,,2,2,1,500000,0,1,0
442,20250705,,,6,6,1,2000000,0,0,0
443,20201027,20220722.0,,1,5,1,1500000,1,0,0
444,20230710,,,4,3,1,500000,0,0,0
445,20210104,20220920.0,,1,5,1,1500000,1,0,0
446,20220812,20240628.0,,4,5,1,2000000,0,0,0
447,20220305,,,3,2,1,500000,0,0,1
448,20250119,20260302.0,,6,5,1,500000,0,0,0
449,20210907,,,1,3,1,500000,1,0,0
450,20200912,,,3,7,1,500000,0,0,1
451,20230625,,,3,7,1,1000000,0,0,1
452,20230403,,,4,2,1,2000000,0,0,0
453,20230418,,,1,4,1,500000,1,0,0
454,20241208,,,6,2,1,2000000,0,0,0
455,20250916,20270814.0,,3,5,1,500000,0,0,1
456,20221230,,,3,1,1,2000000,0,0,1
457,20250301,,,4,3,1,2000000,0,0,0
458,20211012,,,6,1,1,1000000,0,0,0
459,20230424,,,3,7,1,1000000,0,0,1
460,20231224,,,3,7,1,1500000,0,0,1
461,20210802,,,1,3,1,2000000,1,0,0
462,20230302,,,5,4,1,1500000,0,0,0
463,20240319,20250721.0,,5,5,1,1000000,0,0,0
464,20230209,,,6,6,1,1000000,0,0,0
465,20210404,,,1,4,1,2000000,1,0,0
466,20230521,,,3,8,1,500000,0,0,1
467,20210423,,,4,3,1,1500000,0,0,0
468,20250706,,,1,1,1,500000,1,0,0
469,20210504,,,6,6,1,1000000,0,0,0
470,20240819,,,6,6,1,500000,0,0,0
471,20221013,,,4,3,1,500000,0,0,0
472,20230713,,,6,4,1,1500000,0,0,0
473,20250221,20251026.0,,3,5,1,1000000,0,0,1
474,20230202,20240712.0,,4,5,1,500000,0,0,0
475,20230907,20250305.0,,1,5,1,1000000,1,0,0
476,20250206,,,5,4,1,1000000,0,0,0
477,20230410,,,1,3,1,1000000,1,0,0
478,20211207,,,6,2,1,2000000,0,0,0
479,20220211,,,4,2,1,1000000,0,0,0
480,20221202,,,4,1,1,2000000,0,0,0
481,20200610,,,2,2,1,1500000,0,1,0
482,20200920,,,6,6,1,1000000,0,0,0
483,20230426,,,6,7,1,1000000,0,0,0
484,20200923,,,2,4,1,1500000,0,1,0
485,20220626,,,6,8,1,1500000,0,0,0
486,20240816,,,4,3,1,500000,0,0,0
487,20230314,,,3,3,1,2000000,0,0,1
488,20220504,,,2,6,1,1500000,0,1,0
489,20220509,,,4,1,1,2000000,0,0,0
490,20241101,,,4,4,1,500000,0,0,0
491,20250610,,,5,3,1,1000000,0,0,0
492,20201022,,,3,7,1,1000000,0,0,1
493,20210918,,,5,3,1,1000000,0,0,0
494,20200101,,,2,6,1,1500000,0,1,0
495,20250327,,,6,4,1,2000000,0,0,0
496,20200214,,,5,6,1,2000000,0,0,0
497,20250119,,,1,8,1,1000000,1,0,0
498,20210407,,,3,4,1,1500000,0,0,1
499,20210722,,,1,8,1,1500000,1,0,0
500,20211010,,,5,6,1,1500000,0,0,0
501,20221229,,,2,6,1,500000,0,1,0
502,20250121,,,2,2,1,2000000,0,1,0
503,20220125,,,4,7,1,500000,0,0,0
504,20220714,,,3,1,1,1500000,0,0,1
505,20241213,,,5,3,1,1000000,0,0,0
506,20251020,,,1,1,1,1500000,1,0,0
507,20220817,,,4,7,1,1500000,0,0,0
508,20241230,,,6,2,1,2000000,0,0,0
509,20220407,,,1,6,1,1500000,1,0,0
510,20220711,,,3,7,1,1000000,0,0,1
511,20210825,,,3,8,1,2000000,0,0,1
512,20200108,,,3,1,1,1000000,0,0,1
513,20200227,,,5,1,1,1500000,0,0,0
514,20230602,,,5,1,1,1000000,0,0,0
515,20231116,,,3,2,1,1500000,0,0,1
516,20240129,,,5,2,1,1500000,0,0,0
517,20210411,,,3,3,1,2000000,0,0,1
518,20250506,,,4,1,1,1500000,0,0,0
519,20200311,,,1,1,1,1000000,1,0,0
520,20241101,,,5,3,1,500000,0,0,0
521,20201230,,,5,2,1,2000000,0,0,0
522,20250630,,,2,1,1,500000,0,1,0
523,20231117,,,3,7,1,1500000,0,0,1
524,20250503,,,2,3,1,2000000,0,1,0
525,20211106,,,1,3,1,1500000,1,0,0
526,20220310,,,3,4,1,1000000,0,0,1
527,20230722,,,5,4,1,500000,0,0,0
528,20241211,,,2,4,1,1000000,0,1,0
529,20220110,20230210.0,,4,5,1,2000000,0,0,0
530,20220831,,,2,3,1,2000000,0,1,0
531,20220201,,,5,3,1,500000,0,0,0
532,20250707,,,3,2,1,1000000,0,0,1
533,20200208,,,3,4,1,500000,0,0,1
534,20240227,,,1,3,1,1500000,1,0,0
535,20230705,,,3,7,1,1000000,0,0,1
536,20240316,,,1,7,1,1000000,1,0,0
537,20240417,,,6,1,1,500000,0,0,0
538,20220126,,,5,1,1,1500000,0,0,0
539,20221108,,,6,1,1,1000000,0,0,0
540,20230423,,,1,3,1,2000000,1,0,0
541,20240215,20251016.0,,3,5,1,2000000,0,0,1
542,20250521,20270314.0,,4,5,1,1500000,0,0,0
543,20240115,,,4,3,1,1500000,0,0,0
544,20210302,,,3,7,1,1000000,0,0,1
545,20231024,,,2,4,1,1500000,0,1,0
546,20200820,,,5,2,1,500000,0,0,0
547,20200420,20201130.0,,3,5,1,500000,0,0,1
548,20231015,,,4,3,1,1500000,0,0,0
549,20221110,,,6,8,1,500000,0,0,0
550,20211127,20230812.0,,4,5,1,1500000,0,0,0
551,20201018,,,6,6,1,500000,0,0,0
552,20220610,,,1,1,1,500000,1,0,0
553,20210509,20221226.0,,2,5,1,1500000,0,1,0
554,20221106,,,3,6,1,1000000,0,0,1
555,20240213,,,3,7,1,500000,0,0,1
556,20200424,,,6,3,1,500000,0,0,0
557,20220623,,,6,8,1,1000000,0,0,0
558,20211115,,,1,6,1,500000,1,0,0
559,20210726,20220930.0,,1,5,1,1000000,1,0,0
560,20231117,,,6,6,1,1000000,0,0,0
561,20241031,,,2,6,1,1500000,0,1,0
562,20210107,20220302.0,,6,5,1,1500000,0,0,0
563,20230724,,,1,3,1,2000000,1,0,0
