PengajuanKey,InventorKey,Peran_Inventor
68,85,Anggota Inventor
69,74,Ketua Inventor
70,87,Ketua Inventor
71,54,Ketua Inventor
72,99,Ketua Inventor
72,60,Anggota Inventor
72,25,Anggota Inventor
73,37,Ketua Inventor
74,47,Ketua Inventor
74,59,Anggota Inventor
75,47,Ketua Inventor
76,11,Ketua Inventor
77,20,Ketua Inventor
78,17,Ketua Inventor
78,66,Anggota Inventor
79,79,Ketua Inventor
80,8,Ketua Inventor
81,53,Ketua Inventor
82,59,Ketua Inventor
83,23,Ketua Inventor
84,46,Ketua Inventor
85,87,Ketua Inventor
85,14,Anggota Inventor
85,44,Anggota Inventor
86,57,Ketua Inventor
87,17,Ketua Inventor
88,25,Ketua Inventor
89,32,Ketua Inventor
89,37,Anggota Inventor
89,88,Anggota Inventor
90,75,Ketua Inventor
90,28,Anggota Inventor
91,14,Ketua Inventor
91,95,Anggota Inventor
91,96,Anggota Inventor
92,38,Ketua Inventor
93,20,Ketua Inventor
93,89,Anggota Inventor
94,90,Ketua Inventor
95,36,Ketua Inventor
96,35,Ketua Inventor
97,73,Ketua Inventor
98,6,Ketua Inventor
98,13,Anggota Inventor
99,86,Ketua Inventor
100,67,Ketua Inventor
100,29,Anggota Inventor
100,24,Anggota Inventor
101,47,Ketua Inventor
101,24,Anggota Inventor
102,89,Ketua Inventor
103,87,Ketua Inventor
103,94,Anggota Inventor
104,85,Ketua Inventor
104,55,Anggota Inventor
105,52,Ketua Inventor
106,39,Ketua Inventor
107,70,Ketua Inventor
108,6,Ketua Inventor
108,77,Anggota Inventor
109,70,Ketua Inventor
110,12,Ketua Inventor
110,40,Anggota Inventor
110,19,Anggota Inventor
111,71,Ketua Inventor
112,75,Ketua Inventor
113,72,Ketua Inventor
113,48,Anggota Inventor
113,60,Anggota Inventor
114,21,Ketua Inventor
114,46,Anggota Inventor
115,40,Ketua Inventor
116,68,Ketua Inventor
117,18,Ketua Inventor
118,46,Ketua Inventor
119,38,Ketua Inventor
120,19,Ketua Inventor
121,76,Ketua Inventor
121,52,Anggota Inventor
121,22,Anggota Inventor
122,80,Ketua Inventor
123,76,Ketua Inventor
123,81,Anggota Inventor
124,5,Ketua Inventor
124,76,Anggota Inventor
125,46,Ketua Inventor
125,82,Anggota Inventor
126,11,Ketua Inventor
127,37,Ketua Inventor
128,57,Ketua Inventor
129,86,Ketua Inventor
130,84,Ketua Inventor
131,96,Ketua Inventor
132,83,Ketua Inventor
133,3,Ketua Inventor
134,73,Ketua Inventor
134,20,Anggota Inventor
135,67,Ketua Inventor
135,14,Anggota Inventor
136,84,Ketua Inventor
137,17,Ketua Inventor
137,64,Anggota Inventor
138,33,Ketua Inventor
139,88,Ketua Inventor
140,39,Ketua Inventor
141,89,Ketua Inventor
142,48,Ketua Inventor
143,74,Ketua Inventor
144,39,Ketua Inventor
145,70,Ketua Inventor
145,48,Anggota Inventor
146,2,Ketua Inventor
147,5,Ketua Inventor
147,29,Anggota Inventor
147,35,Anggota Inventor
148,68,Ketua Inventor
149,100,Ketua Inventor
149,8,Anggota Inventor
150,40,Ketua Inventor
151,38,Ketua Inventor
152,42,Ketua Inventor
153,69,Ketua Inventor
154,93,Ketua Inventor
154,86,Anggota Inventor
155,73,Ketua Inventor
155,56,Anggota Inventor
156,82,Ketua Inventor
157,92,Ketua Inventor
158,74,Ketua Inventor
159,20,Ketua Inventor
159,43,Anggota Inventor
159,6,Anggota Inventor
160,18,Ketua Inventor
161,52,Ketua Inventor
161,25,Anggota Inventor
162,74,Ketua Inventor
163,25,Ketua Inventor
164,11,Ketua Inventor
164,34,Anggota Inventor
165,35,Ketua Inventor
166,57,Ketua Inventor
167,94,Ketua Inventor
167,35,Anggota Inventor
168,22,Ketua Inventor
168,78,Anggota Inventor
168,13,Anggota Inventor
169,90,Ketua Inventor
170,15,Ketua Inventor
170,50,Anggota Inventor
171,48,Ketua Inventor
171,67,Anggota Inventor
171,70,Anggota Inventor
172,90,Ketua Inventor
173,37,Ketua Inventor
173,25,Anggota Inventor
174,85,Ketua Inventor
175,41,Ketua Inventor
176,10,Ketua Inventor
176,50,Anggota Inventor
176,71,Anggota Inventor
177,12,Ketua Inventor
178,47,Ketua Inventor
179,97,Ketua Inventor
179,54,Anggota Inventor
180,44,Ketua Inventor
181,86,Ketua Inventor
181,98,Anggota Inventor
182,99,Ketua Inventor
183,81,Ketua Inventor
184,87,Ketua Inventor
185,12,Ketua Inventor
185,48,Anggota Inventor
186,36,Ketua Inventor
187,31,Ketua Inventor
188,42,Ketua Inventor
188,94,Anggota Inventor
189,76,Ketua Inventor
190,15,Ketua Inventor
191,61,Ketua Inventor
192,32,Ketua Inventor
192,52,Anggota Inventor
193,55,Ketua Inventor
194,85,Ketua Inventor
195,9,Ketua Inventor
196,99,Ketua Inventor
197,46,Ketua Inventor
197,4,Anggota Inventor
198,81,Ketua Inventor
199,93,Ketua Inventor
200,41,Ketua Inventor
201,34,Ketua Inventor
202,18,Ketua Inventor
203,37,Ketua Inventor
204,52,Ketua Inventor
204,62,Anggota Inventor
205,56,Ketua Inventor
206,25,Ketua Inventor
207,29,Ketua Inventor
208,6,Ketua Inventor
208,28,Anggota Inventor
208,56,Anggota Inventor
209,50,Ketua Inventor
210,71,Ketua Inventor
211,78,Ketua Inventor
211,33,Anggota Inventor
212,28,Ketua Inventor
213,32,Ketua Inventor
214,32,Ketua Inventor
215,14,Ketua Inventor
216,33,Ketua Inventor
217,78,Ketua Inventor
217,15,Anggota Inventor
218,96,Ketua Inventor
219,36,Ketua Inventor
219,48,Anggota Inventor
220,42,Ketua Inventor
220,81,Anggota Inventor
221,79,Ketua Inventor
222,10,Ketua Inventor
222,11,Anggota Inventor
223,100,Ketua Inventor
223,37,Anggota Inventor
223,86,Anggota Inventor
224,16,Ketua Inventor
224,92,Anggota Inventor
225,25,Ketua Inventor
226,96,Ketua Inventor
227,54,Ketua Inventor
228,3,Ketua Inventor
228,9,Anggota Inventor
229,13,Ketua Inventor
230,28,Ketua Inventor
230,90,Anggota Inventor
231,32,Ketua Inventor
232,54,Ketua Inventor
233,82,Ketua Inventor
233,33,Anggota Inventor
233,77,Anggota Inventor
234,20,Ketua Inventor
235,20,Ketua Inventor
235,58,Anggota Inventor
236,83,Ketua Inventor
237,20,Ketua Inventor
238,88,Ketua Inventor
239,80,Ketua Inventor
240,92,Ketua Inventor
240,79,Anggota Inventor
241,58,Ketua Inventor
242,2,Ketua Inventor
243,64,Ketua Inventor
244,6,Ketua Inventor
244,51,Anggota Inventor
245,30,Ketua Inventor
246,43,Ketua Inventor
246,18,Anggota Inventor
247,96,Ketua Inventor
247,13,Anggota Inventor
247,11,Anggota Inventor
248,50,Ketua Inventor
248,54,Anggota Inventor
249,11,Ketua Inventor
250,23,Ketua Inventor
251,2,Ketua Inventor
252,12,Ketua Inventor
253,85,Ketua Inventor
254,60,Ketua Inventor
255,13,Ketua Inventor
256,86,Ketua Inventor
257,4,Ketua Inventor
258,73,Ketua Inventor
259,46,Ketua Inventor
259,61,Anggota Inventor
260,24,Ketua Inventor
260,46,Anggota Inventor
261,29,Ketua Inventor
261,20,Anggota Inventor
262,5,Ketua Inventor
262,24,Anggota Inventor
262,88,Anggota Inventor
263,31,Ketua Inventor
264,45,Ketua Inventor
265,72,Ketua Inventor
265,24,Anggota Inventor
266,15,Ketua Inventor
267,32,Ketua Inventor
268,55,Ketua Inventor
269,76,Ketua Inventor
270,40,Ketua Inventor
270,43,Anggota Inventor
271,24,Ketua Inventor
272,65,Ketua Inventor
272,78,Anggota Inventor
273,98,Ketua Inventor
274,50,Ketua Inventor
275,65,Ketua Inventor
276,6,Ketua Inventor
276,41,Anggota Inventor
277,61,Ketua Inventor
278,63,Ketua Inventor
278,21,Anggota Inventor
279,60,Ketua Inventor
280,44,Ketua Inventor
281,13,Ketua Inventor
281,40,Anggota Inventor
282,9,Ketua Inventor
282,43,Anggota Inventor
282,96,Anggota Inventor
283,52,Ketua Inventor
284,80,Ketua Inventor
285,90,Ketua Inventor
285,10,Anggota Inventor
286,75,Ketua Inventor
286,31,Anggota Inventor
287,19,Ketua Inventor
288,57,Ketua Inventor
288,31,Anggota Inventor
289,81,Ketua Inventor
290,42,Ketua Inventor
290,61,Anggota Inventor
291,67,Ketua Inventor
292,79,Ketua Inventor
292,88,Anggota Inventor
292,56,Anggota Inventor
293,57,Ketua Inventor
293,38,Anggota Inventor
294,97,Ketua Inventor
294,29,Anggota Inventor
294,25,Anggota Inventor
295,40,Ketua Inventor
296,93,Ketua Inventor
297,4,Ketua Inventor
298,65,Ketua Inventor
299,93,Ketua Inventor
300,92,Ketua Inventor
300,8,Anggota Inventor
300,3,Anggota Inventor
301,25,Ketua Inventor
301,63,Anggota Inventor
302,58,Ketua Inventor
303,89,Ketua Inventor
303,30,Anggota Inventor
304,45,Ketua Inventor
304,2,Anggota Inventor
305,95,Ketua Inventor
306,38,Ketua Inventor
306,4,Anggota Inventor
307,74,Ketua Inventor
308,6,Ketua Inventor
309,50,Ketua Inventor
310,56,Ketua Inventor
310,77,Anggota Inventor
311,81,Ketua Inventor
311,21,Anggota Inventor
311,71,Anggota Inventor
312,100,Ketua Inventor
313,73,Ketua Inventor
314,51,Ketua Inventor
314,91,Anggota Inventor
314,75,Anggota Inventor
315,95,Ketua Inventor
316,18,Ketua Inventor
316,24,Anggota Inventor
317,2,Ketua Inventor
318,77,Ketua Inventor
319,10,Ketua Inventor
320,61,Ketua Inventor
321,93,Ketua Inventor
321,46,Anggota Inventor
321,75,Anggota Inventor
322,21,Ketua Inventor
323,80,Ketua Inventor
324,68,Ketua Inventor
325,23,Ketua Inventor
325,45,Anggota Inventor
326,33,Ketua Inventor
327,59,Ketua Inventor
327,18,Anggota Inventor
328,85,Ketua Inventor
328,5,Anggota Inventor
328,98,Anggota Inventor
329,3,Ketua Inventor
329,89,Anggota Inventor
330,60,Ketua Inventor
331,100,Ketua Inventor
332,95,Ketua Inventor
332,32,Anggota Inventor
333,72,Ketua Inventor
333,14,Anggota Inventor
334,89,Ketua Inventor
335,49,Ketua Inventor
335,89,Anggota Inventor
336,41,Ketua Inventor
337,30,Ketua Inventor
337,87,Anggota Inventor
337,74,Anggota Inventor
338,31,Ketua Inventor
338,40,Anggota Inventor
338,56,Anggota Inventor
339,83,Ketua Inventor
339,30,Anggota Inventor
339,5,Anggota Inventor
340,40,Ketua Inventor
340,92,Anggota Inventor
341,82,Ketua Inventor
342,44,Ketua Inventor
343,62,Ketua Inventor
344,98,Ketua Inventor
345,91,Ketua Inventor
346,69,Ketua Inventor
346,25,Anggota Inventor
347,5,Ketua Inventor
348,66,Ketua Inventor
348,33,Anggota Inventor
349,63,Ketua Inventor
350,84,Ketua Inventor
351,37,Ketua Inventor
352,68,Ketua Inventor
352,67,Anggota Inventor
352,92,Anggota Inventor
353,46,Ketua Inventor
354,93,Ketua Inventor
354,40,Anggota Inventor
355,61,Ketua Inventor
356,79,Ketua Inventor
356,94,Anggota Inventor
357,79,Ketua Inventor
358,13,Ketua Inventor
358,52,Anggota Inventor
359,12,Ketua Inventor
359,32,Anggota Inventor
360,12,Ketua Inventor
361,23,Ketua Inventor
362,80,Ketua Inventor
363,62,Ketua Inventor
363,26,Anggota Inventor
363,18,Anggota Inventor
364,22,Ketua Inventor
365,20,Ketua Inventor
365,39,Anggota Inventor
366,36,Ketua Inventor
366,66,Anggota Inventor
367,48,Ketua Inventor
368,19,Ketua Inventor
368,20,Anggota Inventor
369,27,Ketua Inventor
370,56,Ketua Inventor
370,77,Anggota Inventor
371,19,Ketua Inventor
371,74,Anggota Inventor
372,63,Ketua Inventor
373,73,Ketua Inventor
373,64,Anggota Inventor
374,91,Ketua Inventor
374,40,Anggota Inventor
375,50,Ketua Inventor
376,40,Ketua Inventor
377,77,Ketua Inventor
378,64,Ketua Inventor
379,19,Ketua Inventor
379,43,Anggota Inventor
380,86,Ketua Inventor
381,70,Ketua Inventor
382,92,Ketua Inventor
383,77,Ketua Inventor
384,71,Ketua Inventor
384,8,Anggota Inventor
385,54,Ketua Inventor
386,56,Ketua Inventor
387,11,Ketua Inventor
387,85,Anggota Inventor
387,60,Anggota Inventor
388,57,Ketua Inventor
389,25,Ketua Inventor
390,20,Ketua Inventor
390,55,Anggota Inventor
391,32,Ketua Inventor
392,62,Ketua Inventor
393,78,Ketua Inventor
394,61,Ketua Inventor
394,16,Anggota Inventor
394,34,Anggota Inventor
395,63,Ketua Inventor
396,64,Ketua Inventor
397,36,Ketua Inventor
397,48,Anggota Inventor
398,71,Ketua Inventor
399,61,Ketua Inventor
400,66,Ketua Inventor
401,82,Ketua Inventor
402,32,Ketua Inventor
402,36,Anggota Inventor
403,73,Ketua Inventor
404,10,Ketua Inventor
404,88,Anggota Inventor
405,69,Ketua Inventor
406,27,Ketua Inventor
407,95,Ketua Inventor
407,64,Anggota Inventor
408,88,Ketua Inventor
409,43,Ketua Inventor
409,73,Anggota Inventor
409,92,Anggota Inventor
410,20,Ketua Inventor
410,1,Anggota Inventor
411,32,Ketua Inventor
412,3,Ketua Inventor
413,71,Ketua Inventor
414,79,Ketua Inventor
415,53,Ketua Inventor
415,32,Anggota Inventor
416,52,Ketua Inventor
416,77,Anggota Inventor
417,21,Ketua Inventor
418,95,Ketua Inventor
418,6,Anggota Inventor
419,19,Ketua Inventor
419,3,Anggota Inventor
420,89,Ketua Inventor
420,37,Anggota Inventor
421,31,Ketua Inventor
421,20,Anggota Inventor
422,61,Ketua Inventor
423,92,Ketua Inventor
423,60,Anggota Inventor
424,6,Ketua Inventor
425,17,Ketua Inventor
425,13,Anggota Inventor
426,77,Ketua Inventor
427,5,Ketua Inventor
428,22,Ketua Inventor
429,66,Ketua Inventor
429,30,Anggota Inventor
429,51,Anggota Inventor
430,6,Ketua Inventor
431,69,Ketua Inventor
431,57,Anggota Inventor
431,48,Anggota Inventor
432,73,Ketua Inventor
433,78,Ketua Inventor
433,84,Anggota Inventor
433,94,Anggota Inventor
434,24,Ketua Inventor
434,18,Anggota Inventor
435,27,Ketua Inventor
436,83,Ketua Inventor
436,50,Anggota Inventor
436,67,Anggota Inventor
437,65,Ketua Inventor
438,88,Ketua Inventor
439,15,Ketua Inventor
439,55,Anggota Inventor
440,69,Ketua Inventor
440,37,Anggota Inventor
441,17,Ketua Inventor
442,42,Ketua Inventor
443,98,Ketua Inventor
444,82,Ketua Inventor
445,98,Ketua Inventor
446,63,Ketua Inventor
446,60,Anggota Inventor
447,68,Ketua Inventor
447,75,Anggota Inventor
448,82,Ketua Inventor
449,32,Ketua Inventor
450,47,Ketua Inventor
450,91,Anggota Inventor
450,87,Anggota Inventor
451,91,Ketua Inventor
452,40,Ketua Inventor
453,16,Ketua Inventor
454,1,Ketua Inventor
455,32,Ketua Inventor
455,8,Anggota Inventor
456,53,Ketua Inventor
457,43,Ketua Inventor
458,73,Ketua Inventor
458,75,Anggota Inventor
459,86,Ketua Inventor
460,7,Ketua Inventor
461,38,Ketua Inventor
462,6,Ketua Inventor
462,2,Anggota Inventor
462,75,Anggota Inventor
463,51,Ketua Inventor
464,7,Ketua Inventor
465,30,Ketua Inventor
466,18,Ketua Inventor
467,51,Ketua Inventor
468,53,Ketua Inventor
468,99,Anggota Inventor
468,30,Anggota Inventor
469,38,Ketua Inventor
470,64,Ketua Inventor
471,54,Ketua Inventor
472,76,Ketua Inventor
472,20,Anggota Inventor
472,75,Anggota Inventor
473,1,Ketua Inventor
474,27,Ketua Inventor
474,8,Anggota Inventor
474,43,Anggota Inventor
475,41,Ketua Inventor
475,65,Anggota Inventor
476,3,Ketua Inventor
477,32,Ketua Inventor
478,89,Ketua Inventor
478,98,Anggota Inventor
479,88,Ketua Inventor
479,89,Anggota Inventor
480,28,Ketua Inventor
480,33,Anggota Inventor
481,36,Ketua Inventor
482,84,Ketua Inventor
482,5,Anggota Inventor
483,56,Ketua Inventor
484,47,Ketua Inventor
485,59,Ketua Inventor
486,83,Ketua Inventor
487,36,Ketua Inventor
488,98,Ketua Inventor
488,67,Anggota Inventor
489,12,Ketua Inventor
490,47,Ketua Inventor
491,81,Ketua Inventor
492,53,Ketua Inventor
492,30,Anggota Inventor
493,4,Ketua Inventor
494,16,Ketua Inventor
494,22,Anggota Inventor
494,81,Anggota Inventor
495,9,Ketua Inventor
496,29,Ketua Inventor
497,4,Ketua Inventor
498,64,Ketua Inventor
498,31,Anggota Inventor
498,12,Anggota Inventor
499,26,Ketua Inventor
500,52,Ketua Inventor
501,1,Ketua Inventor
501,19,Anggota Inventor
502,61,Ketua Inventor
503,29,Ketua Inventor
504,60,Ketua Inventor
505,86,Ketua Inventor
506,93,Ketua Inventor
507,91,Ketua Inventor
508,17,Ketua Inventor
508,41,Anggota Inventor
508,11,Anggota Inventor
509,64,Ketua Inventor
510,35,Ketua Inventor
510,20,Anggota Inventor
511,89,Ketua Inventor
512,19,Ketua Inventor
513,56,Ketua Inventor
513,66,Anggota Inventor
514,38,Ketua Inventor
515,9,Ketua Inventor
516,59,Ketua Inventor
516,55,Anggota Inventor
516,75,Anggota Inventor
517,15,Ketua Inventor
518,92,Ketua Inventor
519,10,Ketua Inventor
520,49,Ketua Inventor
520,69,Anggota Inventor
521,81,Ketua Inventor
521,66,Anggota Inventor
522,55,Ketua Inventor
522,28,Anggota Inventor
523,67,Ketua Inventor
523,4,Anggota Inventor
524,38,Ketua Inventor
525,26,Ketua Inventor
526,36,Ketua Inventor
526,8,Anggota Inventor
526,12,Anggota Inventor
527,24,Ketua Inventor
527,39,Anggota Inventor
528,44,Ketua Inventor
529,6,Ketua Inventor
530,6,Ketua Inventor
531,94,Ketua Inventor
532,59,Ketua Inventor
533,57,Ketua Inventor
533,22,Anggota Inventor
534,35,Ketua Inventor
535,5,Ketua Inventor
535,35,Anggota Inventor
535,20,Anggota Inventor
536,7,Ketua Inventor
537,57,Ketua Inventor
537,55,Anggota Inventor
538,12,Ketua Inventor
539,63,Ketua Inventor
540,18,Ketua Inventor
540,32,Anggota Inventor
541,57,Ketua Inventor
541,55,Anggota Inventor
542,91,Ketua Inventor
542,21,Anggota Inventor
543,76,Ketua Inventor
544,44,Ketua Inventor
545,50,Ketua Inventor
546,31,Ketua Inventor
547,82,Ketua Inventor
547,19,Anggota Inventor
548,35,Ketua Inventor
549,77,Ketua Inventor
550,4,Ketua Inventor
551,20,Ketua Inventor
551,30,Anggota Inventor
552,46,Ketua Inventor
552,80,Anggota Inventor
552,28,Anggota Inventor
553,3,Ketua Inventor
554,42,Ketua Inventor
555,64,Ketua Inventor
555,48,Anggota Inventor
555,52,Anggota Inventor
556,77,Ketua Inventor
556,60,Anggota Inventor
557,57,Ketua Inventor
558,82,Ketua Inventor
559,49,Ketua Inventor
560,41,Ketua Inventor
561,41,Ketua Inventor
562,32,Ketua Inventor
562,27,Anggota Inventor
563,57,Ketua Inventor
564,83,Ketua Inventor
565,61,Ketua Inventor
566,87,Ketua Inventor
567,50,Ketua Inventor
568,48,Ketua Inventor
569,14,Ketua Inventor
569,24,Anggota Inventor
570,55,Ketua Inventor
571,57,Ketua Inventor
571,33,Anggota Inventor
572,78,Ketua Inventor
573,84,Ketua Inventor
574,100,Ketua Inventor
575,22,Ketua Inventor
576,15,Ketua Inventor
576,11,Anggota Inventor
576,29,Anggota Inventor
577,92,Ketua Inventor
577,87,Anggota Inventor
578,66,Ketua Inventor
578,3,Anggota Inventor
579,40,Ketua Inventor
580,46,Ketua Inventor
580,1,Anggota Inventor
581,71,Ketua Inventor
581,97,Anggota Inventor
582,57,Ketua Inventor
582,49,Anggota Inventor
583,79,Ketua Inventor
583,82,Anggota Inventor
584,26,Ketua Inventor
584,22,Anggota Inventor
585,50,Ketua Inventor
586,87,Ketua Inventor
587,95,Ketua Inventor
587,6,Anggota Inventor
588,61,Ketua Inventor
589,1,Ketua Inventor
589,50,Anggota Inventor
590,62,Ketua Inventor
591,84,Ketua Inventor
592,1,Ketua Inventor
593,2,Ketua Inventor
593,56,Anggota Inventor
594,4,Ketua Inventor
594,42,Anggota Inventor
595,89,Ketua Inventor
595,82,Anggota Inventor
596,15,Ketua Inventor
597,58,Ketua Inventor
597,71,Anggota Inventor
598,56,Ketua Inventor
599,72,Ketua Inventor
600,9,Ketua Inventor
601,24,Ketua Inventor
601,10,Anggota Inventor
602,5,Ketua Inventor
602,34,Anggota Inventor
602,54,Anggota Inventor
603,92,Ketua Inventor
604,54,Ketua Inventor
604,29,Anggota Inventor
605,44,Ketua Inventor
606,67,Ketua Inventor
606,11,Anggota Inventor
606,54,Anggota Inventor
607,48,Ketua Inventor
607,75,Anggota Inventor
608,64,Ketua Inventor
609,88,Ketua Inventor
609,14,Anggota Inventor
609,79,Anggota Inventor
610,39,Ketua Inventor
611,3,Ketua Inventor
612,19,Ketua Inventor
612,40,Anggota Inventor
613,95,Ketua Inventor
614,37,Ketua Inventor
615,50,Ketua Inventor
615,65,Anggota Inventor
616,77,Ketua Inventor
617,25,Ketua Inventor
617,79,Anggota Inventor
618,9,Ketua Inventor
618,12,Anggota Inventor
618,54,Anggota Inventor
619,37,Ketua Inventor
620,42,Ketua Inventor
620,41,Anggota Inventor
621,63,Ketua Inventor
622,25,Ketua Inventor
622,67,Anggota Inventor
623,27,Ketua Inventor
623,93,Anggota Inventor
623,53,Anggota Inventor
624,84,Ketua Inventor
625,84,Ketua Inventor
626,58,Ketua Inventor
626,82,Anggota Inventor
627,9,Ketua Inventor
628,2,Ketua Inventor
628,98,Anggota Inventor
629,22,Ketua Inventor
630,36,Ketua Inventor
630,7,Anggota Inventor
630,39,Anggota Inventor
631,24,Ketua Inventor
632,46,Ketua Inventor
633,78,Ketua Inventor
634,48,Ketua Inventor
634,32,Anggota Inventor
635,89,Ketua Inventor
636,96,Ketua Inventor
637,4,Ketua Inventor
637,68,Anggota Inventor
637,27,Anggota Inventor
638,10,Ketua Inventor
638,79,Anggota Inventor
639,27,Ketua Inventor
639,5,Anggota Inventor
640,92,Ketua Inventor
641,5,Ketua Inventor
642,72,Ketua Inventor
642,45,Anggota Inventor
643,92,Ketua Inventor
644,58,Ketua Inventor
645,7,Ketua Inventor
646,61,Ketua Inventor
647,47,Ketua Inventor
648,97,Ketua Inventor
648,59,Anggota Inventor
649,85,Ketua Inventor
650,75,Ketua Inventor
650,83,Anggota Inventor
651,82,Ketua Inventor
652,25,Ketua Inventor
653,83,Ketua Inventor
653,69,Anggota Inventor
653,79,Anggota Inventor
654,43,Ketua Inventor
655,79,Ketua Inventor
655,92,Anggota Inventor
655,73,Anggota Inventor
656,55,Ketua Inventor
657,34,Ketua Inventor
658,16,Ketua Inventor
659,98,Ketua Inventor
659,31,Anggota Inventor
659,1,Anggota Inventor
660,31,Ketua Inventor
661,87,Ketua Inventor
661,45,Anggota Inventor
662,84,Ketua Inventor
663,28,Ketua Inventor
664,41,Ketua Inventor
664,65,Anggota Inventor
665,12,Ketua Inventor
666,53,Ketua Inventor
667,33,Ketua Inventor
667,78,Anggota Inventor
667,71,Anggota Inventor
668,64,Ketua Inventor
669,29,Ketua Inventor
669,24,Anggota Inventor
670,43,Ketua Inventor
670,29,Anggota Inventor
671,32,Ketua Inventor
672,22,Ketua Inventor
673,41,Ketua Inventor
674,51,Ketua Inventor
675,19,Ketua Inventor
675,28,Anggota Inventor
676,80,Ketua Inventor
676,79,Anggota Inventor
676,54,Anggota Inventor
677,82,Ketua Inventor
678,43,Ketua Inventor
679,23,Ketua Inventor
679,73,Anggota Inventor
680,97,Ketua Inventor
680,31,Anggota Inventor
681,56,Ketua Inventor
682,67,Ketua Inventor
683,22,Ketua Inventor
683,75,Anggota Inventor
684,43,Ketua Inventor
684,88,Anggota Inventor
685,38,Ketua Inventor
686,60,Ketua Inventor
686,62,Anggota Inventor
687,52,Ketua Inventor
687,4,Anggota Inventor
688,40,Ketua Inventor
689,25,Ketua Inventor
690,66,Ketua Inventor
691,99,Ketua Inventor
692,92,Ketua Inventor
693,33,Ketua Inventor
694,17,Ketua Inventor
695,69,Ketua Inventor
695,87,Anggota Inventor
696,78,Ketua Inventor
696,24,Anggota Inventor
697,15,Ketua Inventor
698,41,Ketua Inventor
699,93,Ketua Inventor
699,59,Anggota Inventor
699,47,Anggota Inventor
700,17,Ketua Inventor
701,2,Ketua Inventor
702,24,Ketua Inventor
703,70,Ketua Inventor
703,11,Anggota Inventor
703,2,Anggota Inventor
704,12,Ketua Inventor
705,38,Ketua Inventor
706,4,Ketua Inventor
707,97,Ketua Inventor
708,10,Ketua Inventor
709,85,Ketua Inventor
709,43,Anggota Inventor
709,48,Anggota Inventor
710,26,Ketua Inventor
711,24,Ketua Inventor
712,5,Ketua Inventor
713,93,Ketua Inventor
713,89,Anggota Inventor
713,21,Anggota Inventor
714,56,Ketua Inventor
715,93,Ketua Inventor
715,98,Anggota Inventor
716,62,Ketua Inventor
716,7,Anggota Inventor
716,71,Anggota Inventor
717,97,Ketua Inventor
718,58,Ketua Inventor
719,79,Ketua Inventor
720,65,Ketua Inventor
720,94,Anggota Inventor
720,77,Anggota Inventor
721,62,Ketua Inventor
721,91,Anggota Inventor
